,Eat,Errands,Exercise,Hobby,Housework,Hygiene,Other,Relax,Sleep,Socialize,Travel,Work
Eat,113777,4917,4417,572,142720,846,4424,141564,10,4025,7249,9685
Errands,2649,149688,6619,371,24854,304,624,21731,0,854,34291,7941
Exercise,3442,5502,190822,300,56367,485,1031,26606,8,2000,10347,7002
Hobby,1723,1911,1496,13095,15413,379,125,31838,31,210,2157,3088
Housework,6905,2169,4521,493,1080990,1079,755,186565,46,881,8886,6043
Hygiene,2180,1583,1476,63,54331,28269,764,29641,147,1274,1291,3266
Other,4367,2730,4647,33,35151,595,68383,66100,346,846,9427,9363
Relax,8595,2307,3505,945,180902,2128,1434,2252634,1887,4303,6579,11460
Sleep,138,145,164,44,1502,27,115,29746,158631,37,108,571
Socialize,5049,4448,4507,127,26197,946,1185,81304,27,111088,11397,7252
Travel,3680,16797,7822,106,29376,266,2702,20252,10,4234,287923,9377
Work,3946,4451,6270,906,78763,647,969,148294,359,1374,10725,333623
